"year","ind","qout","po","qktemp","pk","qltemp","pl","pz1","pz2","pz3","pz4","pz5","pz6","pz7","pz8","pz9","pz10","pz11","pz12","pz13","pz14","pz15","pz16","pz17","pz18","pz19","pz20","pz21","pz22","pz23","pz24","pz25","pz26","pz27","pz28","pz29","pz30","pz31","pz32","pz33","pz34","pz35","pn","pe","pm","pma","pmm","pmn","pms","pta","pwp","pos","pfm","pmc","peq","qc1","qc2","qc3","qc4","qc5","qc6","qc7","qc8","qc9","qc10","qc11","qc12","qc13","qc14","qc15","qc16","qc17","qc18","qc19","qc20","qc21","qc22","qc23","qc24","qc25","qc26","qc27","qc28","qc29","qc30","qc31","qc32","qc33","qc34","qc35","qcn","qe","qm","qma","qmm","qmn","qms","qta","qwp","qos","qfm","qmc","qeq"
1960,1,153474,0.305095,35474.5,0.202192,100351,0.1023,0.310386,0.241639,0.250938,0.111397,0.242862,0.176296,0.282507,0.127039,0.381165,0.336377,0.204089,0.246364,0.23198,0.173892,0.233014,0.168023,0.301161,0.212625,0.23896,0.234865,0.237866,0.592462,0.657491,0.243712,0.226038,0.316448,0.224137,0.259335,0.374491,0.182421,0.14226,0.26336,0.197164,0.157753,0.147757,0.204099,0.167633,0.270052,0.300931,0.436537,0.237518,0.222471,0.363241,0.217921,0.302273,0.236598,0.596281,0.250083,48907.6,0.025,4.3,0.027,294.682,1892.83,11763.4,0.653,239.552,85.859,404.382,1.482,644.322,64.753,7610.45,3288.17,361.059,35.767,182.491,79.377,598.532,612.463,187.472,237.567,82.07,25.868,41.854,4994.73,301.377,1472.17,344.426,8113.39,12108.1,3837.11,166.009,26.698,5196.6,105589,62722,1676.32,8448.32,29520.7,351.819,1117.95,472.557,680.559,815.256,338.428
1961,1,156256,0.310183,35714.3,0.21986,98162.3,0.108,0.312692,0.241896,0.245165,0.11114,0.240282,0.178342,0.287392,0.128684,0.370419,0.335709,0.19699,0.247061,0.225291,0.175857,0.231391,0.1685,0.294531,0.216173,0.237495,0.231428,0.238605,0.594281,0.650819,0.242756,0.226864,0.318025,0.225016,0.261338,0.373491,0.184218,0.145776,0.267045,0.201368,0.161034,0.15171,0.198344,0.168683,0.272442,0.303492,0.436473,0.235654,0.225983,0.356037,0.211608,0.302685,0.23683,0.596093,0.249752,48872.4,0.025,3.647,0.027,303.019,1901.76,11985.2,0.653,256.247,86.923,413.92,1.534,688.391,64.956,7857.36,3286.11,380.857,33.977,186.817,84.895,591.979,627.252,197.402,219.62,83.314,26.064,44.077,5093.47,317.528,1573.88,362.625,8318.3,12611.9,3905.69,171.808,28.395,5320.06,106874,62955.4,1701.46,8730.57,30406.5,369.189,1174,496.526,679.398,840.871,322.336
1962,1,155497,0.321488,36121.5,0.214236,96396.5,0.1162,0.32493,0.243717,0.239365,0.11209,0.244498,0.179797,0.288792,0.129022,0.376674,0.33778,0.199547,0.249626,0.227162,0.178488,0.22884,0.165994,0.291341,0.21825,0.237398,0.230202,0.239431,0.596403,0.638406,0.244811,0.22682,0.320164,0.225434,0.268012,0.378625,0.184691,0.146614,0.26899,0.205629,0.1647,0.15206,0.19327,0.167347,0.279144,0.313298,0.436327,0.23336,0.229917,0.361061,0.213754,0.305789,0.237397,0.594718,0.251342,48435.9,0.021,3.2,0.027,308.047,1806.08,12308.2,0.636,268.819,90.358,428.49,1.61,723.07,65.237,8322.64,3337.58,411.467,34.245,194.829,88.149,613.388,663.394,215.906,263.056,85.327,25.528,46.368,5255.19,325.969,1682.74,384.144,8607.78,12828.9,3899.95,182.83,29.591,5508.88,107933,62860.2,1816.46,9240.87,31146.5,385.674,1224.79,513.23,704.142,897.04,365.741
1963,1,160845,0.320346,36847,0.216912,95453.7,0.121,0.323686,0.249399,0.235034,0.111501,0.2447,0.181328,0.288751,0.128567,0.377839,0.342656,0.203262,0.250312,0.225394,0.183512,0.228804,0.164612,0.291871,0.210816,0.235821,0.228428,0.240986,0.597907,0.63396,0.242486,0.226517,0.316952,0.226953,0.261274,0.38511,0.18585,0.146243,0.271284,0.210171,0.16841,0.159013,0.188499,0.16684,0.279167,0.312348,0.436379,0.233332,0.231841,0.362354,0.214268,0.312108,0.238516,0.594766,0.24937,50071.6,0.016,2.863,0.027,314.372,1783.99,12554.2,0.599,272.722,91.786,451.392,1.658,764.573,64.143,8749.92,3428.88,428.285,35.016,207.653,94.752,612.792,685.717,220.954,279.376,87.367,25.96,47.596,5466.68,332.7,1763.23,398.473,8692.55,13155,3945.69,187.425,30.769,5700.54,111161,64833.9,1868,9701.7,31829.9,391.545,1289.36,524.591,709.898,924.853,384.02
1964,1,159818,0.321819,37528.9,0.183998,94510.9,0.1385,0.322285,0.261619,0.271174,0.110525,0.244641,0.18375,0.288347,0.129854,0.383884,0.346355,0.207274,0.252952,0.226138,0.185464,0.227669,0.158017,0.287053,0.219717,0.236333,0.234615,0.245642,0.611173,0.627203,0.245227,0.229116,0.317909,0.227829,0.262771,0.388328,0.186484,0.144826,0.277571,0.212803,0.172683,0.16438,0.21137,0.162992,0.279622,0.311263,0.442843,0.232107,0.235515,0.368216,0.21622,0.317337,0.243366,0.602994,0.252018,49088,0.015,2.047,0.036,315.884,1607.08,12346.8,0.547,272.918,89.324,454.196,1.617,757.271,63.214,8807.26,3391.45,437.988,32.51,211.084,98.374,605.682,692.173,222.212,263.674,86.895,25.422,46.522,5384.15,326,1755.08,400.687,8504.08,12846.1,3778.72,183.502,26.593,5655.44,109132,63614.8,1867.31,9774.04,31097.3,387.952,1283.53,511.696,706.199,932.695,367.637
1965,1,164301,0.335576,38256,0.221143,86246.5,0.152,0.336015,0.276219,0.237934,0.10973,0.24718,0.186455,0.298511,0.131188,0.386875,0.348118,0.209261,0.25492,0.228619,0.187769,0.228972,0.163647,0.289479,0.227506,0.237105,0.241253,0.248522,0.619146,0.619934,0.248297,0.232915,0.320775,0.225617,0.27174,0.387431,0.187309,0.145789,0.280243,0.215989,0.177368,0.167016,0.210385,0.166642,0.28836,0.32389,0.446827,0.233478,0.239682,0.371368,0.218503,0.31766,0.246762,0.607093,0.255308,49988.8,0.011,2.043,0.036,342.997,1586.63,12577.4,0.511,296.14,94.566,480.726,1.75,826.677,66.891,9546.01,3411.34,484.584,33.436,231.577,107.845,663.469,751.761,256.69,319.815,93.979,28.952,52.78,5668.38,348.227,1883.94,422.212,9054.23,13630.4,3883.35,195.94,27.797,5839.94,113028,64865.4,2072.55,10611.9,32893.6,417.634,1384.86,546.141,773.652,1028.81,433.144
1966,1,163392,0.366988,39281.7,0.242281,84037.2,0.1668,0.36448,0.276509,0.242223,0.111757,0.250499,0.195042,0.315186,0.136477,0.388974,0.351389,0.21878,0.262873,0.234832,0.194864,0.231241,0.168932,0.297998,0.247066,0.238723,0.246323,0.255796,0.638259,0.626451,0.253058,0.238424,0.332075,0.23267,0.276886,0.382947,0.18747,0.145039,0.287951,0.225586,0.183671,0.170423,0.218489,0.169701,0.305664,0.349228,0.458302,0.236087,0.247371,0.37511,0.225853,0.316386,0.253708,0.622662,0.260791,50659.5,0.011,1.738,0.036,367.427,1437.49,12817.5,0.462,319.039,99.525,496.896,1.807,885.254,67.703,10167.1,3502.78,518.811,33.303,250.165,115.946,724.437,832.697,290.026,316.758,101.462,31.059,54.528,5952.73,376.185,2015.71,452.437,9413.88,13824.3,4009.48,202.948,27.475,6102.86,115790,65864.9,2272.95,11309.8,33951.6,445.997,1462.3,583.62,842.981,1145.35,439.674
1967,1,169478,0.351358,40297.8,0.221811,82051.1,0.1793,0.349391,0.274796,0.24653,0.113952,0.257704,0.201861,0.310409,0.138912,0.386728,0.357779,0.216098,0.269444,0.239342,0.200428,0.232144,0.171855,0.302001,0.237159,0.243514,0.250552,0.260704,0.658283,0.645959,0.259267,0.246201,0.345702,0.239513,0.283123,0.38895,0.188061,0.145175,0.299298,0.232009,0.19154,0.175653,0.209855,0.171585,0.301346,0.336764,0.471313,0.237454,0.255247,0.374199,0.227888,0.321657,0.258511,0.64216,0.268072,50220.5,0.007,1.416,0.053,356.948,1382.74,13306.5,0.41,318.568,101.239,521.75,1.848,871.199,67.74,10072.4,3596.07,534.058,33.821,241.862,109.498,756.052,852.628,291.042,285.49,105.966,33.801,53.993,5875.99,375.987,2073.48,464.052,9400.37,13758.7,3946.74,204.301,28.691,6269.01,115553,65861.8,2303.37,11216.2,33745.4,447.465,1471.51,584.93,868.602,1166.8,417.022
1968,1,171661,0.357461,41925.8,0.213477,78578.8,0.198,0.353899,0.292776,0.249355,0.115332,0.26763,0.212058,0.318057,0.141612,0.407377,0.370154,0.243235,0.281101,0.24062,0.207736,0.23198,0.168237,0.305679,0.242052,0.255607,0.257266,0.267705,0.684216,0.659785,0.268789,0.253344,0.353118,0.247016,0.294214,0.394435,0.191058,0.144879,0.312203,0.24329,0.200839,0.186707,0.206069,0.170482,0.308172,0.342101,0.486855,0.238084,0.266578,0.392076,0.238447,0.328828,0.265451,0.664495,0.277035,50673.2,0.007,1.051,0.061,341.207,1355.78,13251.1,0.346,323.705,103.041,507.592,1.871,897.693,66.743,10348.5,3719.24,570.455,33.332,242.474,111.173,768.073,819.102,296.497,321.017,105.458,35.41,54.96,5882.54,380.565,2150.94,481.09,9463.44,13470.2,3811.31,202.28,29.408,6491.24,115996,66295.6,2291.84,11516.4,33468,454.195,1484.01,589.777,882.347,1137.81,453.036
1969,1,173386,0.401487,42162.3,0.300172,76414.2,0.214,0.383873,0.322948,0.266806,0.118668,0.267757,0.229962,0.334054,0.148436,0.413131,0.38232,0.270264,0.295592,0.248317,0.218062,0.230196,0.169472,0.307805,0.258654,0.266857,0.272598,0.278793,0.711404,0.667606,0.275029,0.26498,0.354329,0.256235,0.311955,0.396003,0.195021,0.147148,0.330796,0.252932,0.212582,0.19784,0.214626,0.17268,0.3276,0.368563,0.50345,0.236868,0.280256,0.400109,0.252672,0.333997,0.277048,0.686083,0.284252,51840.6,0.006,0.885,0.059,351.001,1342.66,13811.7,0.276,342.729,107.941,510.312,2.057,973.539,70.622,11226.9,3940.79,631.189,31.985,256.227,121.164,795,884.261,324.115,336.801,112.869,39.59,59.063,6193.32,420.025,2341.32,519.924,9813.5,14082.7,3976.48,211.145,29.968,6956.26,120276,68104.7,2456.42,12480.3,34968.4,477.702,1565.95,642.329,919.23,1232.28,480.44
